# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  ESO563-G021         4.900   195.00     4.54    124.302    135.108    0.8460     0.00   175.79     0.00
  ESO563-G021         5.790   227.00     4.20    140.849    162.753    0.9128     0.00   199.19     0.00
  ESO563-G021         6.690   246.00     4.24    154.057    182.300    0.9854     0.00   217.87     0.00
  ESO563-G021         7.580   268.00     5.56    161.680    198.812    1.0000     0.00   228.65     0.00
  ESO563-G021         8.470   283.00     2.96    170.950    208.487    1.0000     0.00   241.76     0.00
  ESO563-G021        10.230   291.00     9.81    184.512    211.374    1.0000     0.00   260.94     0.00
  ESO563-G021        12.060   310.00     4.74    194.483    221.753    1.0000     0.04   275.04     0.00
  ESO563-G021        13.440   310.00    20.40    196.562    219.101    1.0000     0.40   277.98     0.00
  ESO563-G021        15.180   310.00    16.10    199.605    215.825    1.0000     3.11   282.25     0.00
  ESO563-G021        16.830   314.00    13.50    200.919    215.469    1.0000    15.18   283.33     0.00
  ESO563-G021        18.560   317.00    12.70    196.832    214.144    1.0000    22.91   276.47     0.00
  ESO563-G021        20.300   319.00    10.40    195.286    212.007    1.0000    33.06   272.19     0.00
  ESO563-G021        21.940   318.00    10.80    195.946    208.025    1.0000    33.62   273.00     0.00
  ESO563-G021        23.680   317.00     9.30    195.924    203.836    1.0000    39.67   271.34     0.00
  ESO563-G021        25.410   317.00     7.23    190.383    200.271    1.0000    44.98   261.62     0.00
  ESO563-G021        27.060   312.00     8.39    184.769    193.749    1.0000    46.29   252.97     0.00
  ESO563-G021        28.800   312.00     8.37    177.753    190.181    1.0000    43.21   243.84     0.00
  ESO563-G021        30.530   311.00    11.50    171.392    185.954    1.0000    45.08   233.85     0.00
  ESO563-G021        32.180   310.00    14.50    167.348    181.842    1.0000    52.43   224.75     0.00
  ESO563-G021        33.910   313.00    15.90    164.126    179.740    1.0000    59.70   216.21     0.00
  ESO563-G021        35.650   320.00     8.83    159.983    179.506    1.0000    61.56   208.83     0.00
  ESO563-G021        37.300   321.00     7.88    156.666    175.740    1.0000    63.33   202.65     0.00
  ESO563-G021        39.030   320.00     8.00    152.719    170.453    1.0000    62.96   196.77     0.00
  ESO563-G021        40.760   315.00     9.82    149.026    162.970    1.0000    62.40   191.39     0.00
  ESO563-G021        42.410   312.00     9.07    146.062    156.743    1.0000    62.21   186.89     0.00
  F561-1              1.610    23.40    10.00     20.890     11.427    0.4390     5.21    28.61     0.00
  F561-1              3.230    40.60     5.00     28.598     20.922    0.4845    10.57    37.58     0.00
  F561-1              4.840    45.50     5.00     31.800     25.211    0.5574    15.71    39.10     0.00
  F561-1              6.450    49.20     5.00     37.509     29.528    0.6600    20.94    44.01     0.00
  F561-1              8.060    50.40     5.00     43.029     33.180    0.8205    25.97    48.52     0.00
  F561-1              9.660    50.40     5.00     45.588     35.415    1.0000    29.26    49.44     0.00
  F563-1              1.070    22.10     7.17     13.091     16.877    1.0000     1.98    18.30     0.00
  F563-1              1.780    42.70    10.66     17.794     32.509    1.0000     4.03    24.51     0.00
  F563-1              2.490    60.60     7.69     20.392     45.891    1.0000     6.25    27.45     0.00
  F563-1              2.970    76.80    11.10     21.457     57.854    1.0000     7.78    28.28     0.00
  F563-1              3.040    81.60    17.50     21.489     61.411    1.0000     8.01    28.20     0.00
  F563-1              3.190    87.00     8.93     21.647     65.327    1.0000     8.49    28.16     0.00
  F563-1              6.950    90.00    24.80     27.479     63.976    1.0000    17.83    29.57     0.00
  F563-1              8.580    97.80     9.40     30.730     67.983    1.0000    22.83    29.09     0.00
  F563-1              9.260    93.70    25.30     32.144     64.514    1.0000    24.91    28.73     0.00
  F563-1              9.890   103.00    23.80     33.529     70.260    1.0000    26.69    28.70     0.00
  F563-1             10.080    97.40    11.00     34.037     66.246    1.0000    27.31    28.73     0.00
  F563-1             11.840   106.50     9.48     36.578     70.401    1.0000    30.86    27.77     0.00
  F563-1             14.560   112.00    11.00     35.463     70.068    1.0000    30.44    25.73     0.00
  F563-1             15.430   111.50     9.40     35.465     68.349    1.0000    30.70    25.11     0.00
  F563-1             17.930   111.00    24.30     37.263     63.705    1.0000    33.36    23.48     0.00
  F563-1             19.020   112.50     7.75     37.990     62.427    1.0000    34.35    22.95     0.00
  F563-1             20.100   106.00    10.70     38.632     56.772    1.0000    35.34    22.07     0.00
  F563-V1             1.310    12.00     5.00      9.104      6.260    0.4841     4.66    11.06     0.00
  F563-V1             2.630    21.70     5.00     15.339     11.884    0.5310     9.66    16.85     0.00
  F563-V1             3.930    28.60     5.00     21.545     16.957    0.6246    13.79    23.41     0.00
  F563-V1             5.240    29.50     5.00     23.733     19.448    0.7939    16.46    24.18     0.00
  F563-V1             6.550    28.60     5.00     24.925     20.460    1.0000    18.52    23.59     0.00
  F563-V1             7.870    27.30     5.00     26.057     18.607    1.0000    20.17    23.33     0.00
  F563-V2             0.280    11.90     7.89      4.500      6.283    0.5646     0.95     6.22     0.00
  F563-V2             0.870    34.80     7.89     12.813     18.417    0.5678     2.93    17.64     0.00
