i,name,fold,alpha,logSB,resid_new,resid_base,rms_new,rms_base
80,NGC5033,3,500.0,2.2854672904600575,4.096306986142584,10.771972588404285,22.655550128000524,26.037825782251165
83,NGC5585,3,500.0,2.1234519292084153,-2.066871287650835,-2.0129485353704912,9.195561673429086,9.209340764733577
89,NGC6674,3,500.0,1.9082360132809515,24.048741939491748,32.97320189731313,29.869690483433427,37.160809899551445
91,NGC6946,3,500.0,2.3058172028895867,-19.941612996993246,-17.342227756589228,25.9711799848434,24.256797900037867
105,UGC02455,3,500.0,2.0577374029739732,-28.199238853024333,-28.192533345715162,28.768331406140927,28.761670560808412
110,UGC03205,3,500.0,2.3143621469963103,13.104226550044107,17.29946400238657,18.739906733053235,22.168445530697742
111,UGC03546,3,500.0,2.8218351369044297,-18.04281261254653,-13.500007539818442,27.04305554426553,25.567960334846745
114,UGC04305,3,500.0,1.2966871237724018,-7.4255498924843595,-7.419078329038463,11.148166168360882,11.142277790689235
131,UGC06614,3,500.0,1.6188728795151268,20.986000708166756,23.288653174946273,37.57609589359353,39.72665581806864
137,UGC06917,3,500.0,1.4083324897908212,7.56226281759122,7.676181687059312,10.715775152915715,10.771668454567079
140,UGC06973,3,500.0,2.494262844820126,-68.12038431867438,-67.34052758980417,71.5660975315497,70.88705648036962
150,UGC07559,3,500.0,1.035963105745482,1.2304857069270116,1.2327411245938162,2.0562975906493177,2.056820867246971
153,UGC07608,3,500.0,0.7255032688593155,13.505063969518789,13.523917581495951,13.919661890991254,13.93701905995313
154,UGC07690,3,500.0,1.6160902370939976,5.535511498931629,5.59050586998017,8.00869808983413,8.03550130429443
157,UGC08490,3,500.0,1.3999960587983225,14.231823554389813,14.371451220180548,16.25491637292846,16.380607768546405
158,UGC08550,3,500.0,1.0464561424125918,9.543893784247706,9.569245865555775,10.407113389514125,10.42877486254756
162,UGC09133,3,500.0,2.4712938757912135,5.410957101902538,20.51213918195695,17.171395389648804,28.175743025824158
173,UGCA442,3,500.0,0.49613858322443544,8.74065481669062,8.761398434288845,8.840064202006346,8.859555637838753
1,D512-2,4,570.0,0.8506462351830665,10.989575879221434,10.999988598820252,11.539726365260522,11.548454741749413
14,F563-1,4,570.0,0.8280150642239769,28.190418531456196,28.425653104422373,32.07005927391313,32.27134701393213
20,F568-3,4,570.0,1.3920517726020207,9.488928771555058,9.58064389550392,11.506546392386563,11.589759083793187
21,F568-V1,4,570.0,1.341773574350278,37.76001084063096,38.15697833211998,39.3307445026509,39.75616146884555
37,NGC0300,4,570.0,1.2134402765538244,10.311581826973807,10.42868744700302,12.692091556199687,12.787666463720806
48,NGC2915,4,570.0,1.4630845739674536,16.9112486827827,17.022796502430275,21.47877956044516,21.58263949817555
50,NGC2976,4,570.0,2.3582916740682855,-8.940795186074277,-8.921820730725127,10.662202714991448,10.639685070739105
52,NGC3109,4,570.0,0.5285661329383692,7.358054863330501,7.3708348419258565,9.02109421654657,9.03361029759665
54,NGC3521,4,570.0,2.968812397039061,-29.780980340294605,-25.77840206785828,31.14905055696771,27.71554196071885
57,NGC3769,4,570.0,1.7649064018788558,4.7003271453596795,5.363233425525219,16.03878327408296,16.384910042490024
58,NGC3877,4,570.0,2.3990290552933113,-29.627424659731023,-28.90470361651057,39.294137888989695,38.57393126049677
63,NGC3972,4,570.0,1.9350283710745733,0.40826710669698546,0.6546543991355102,10.020266941020251,9.917258046789637
71,NGC4100,4,570.0,1.893983567211847,1.9500080576554735,4.143853433813645,22.609863313728216,22.77302246581693
74,NGC4183,4,570.0,1.414699929729677,6.182596200419743,6.52676153863504,10.196432776424622,10.34113208508823
87,NGC6195,4,570.0,2.2979935055330407,-25.618109878041547,-18.823306521813006,30.722395255412497,24.149375380542985
88,NGC6503,4,570.0,1.7996998508649846,8.977792996427896,9.773522787446954,15.193830738012496,15.801237815503212
92,NGC7331,4,570.0,2.4090046957336604,-49.35628473849072,-43.748589144523336,52.93759923174063,48.38107685777363
99,UGC00731,4,570.0,0.2946665927081243,13.247196289606977,13.301633480235035,16.941411904699713,16.970628875575404
102,UGC01281,4,570.0,1.002925952084535,5.509518758555785,5.5174660600596805,6.876756407688274,6.884023640282825
103,UGC02023,4,570.0,1.4182681378038011,3.907551886177917,3.921927871224517,4.239383721910352,4.2518125710975925
106,UGC02487,4,570.0,1.862660502392708,46.59589908036419,61.2012090401396,56.74739952988721,68.04164808307371
107,UGC02885,4,570.0,2.0936473351323777,-1.5324016495918233,12.990049337169104,24.577524478436732,26.904313758425964
116,UGC04483,4,570.0,1.0116912487390595,1.178461563497314,1.1801696077070492,1.8781158167358791,1.878486339192525
121,UGC05716,4,570.0,0.6869935662646786,11.85814797126987,11.926242582467177,13.65615233472748,13.705892795938917
129,UGC06399,4,570.0,1.3321606245924575,10.522494743941945,10.593499311197046,11.761365119439532,11.812822950654212
130,UGC06446,4,570.0,1.024023624941817,14.471700828314777,14.59196793796858,17.466079550300744,17.552297418598645
134,UGC06786,4,570.0,2.2543398549838574,26.516140263885028,33.35766615425435,33.662392939460894,40.33964067879381
146,UGC07261,4,570.0,1.5378694451378954,11.127690032005242,11.216094539482185,12.37622532222808,12.44009151245367
149,UGC07524,4,570.0,1.1024908760206413,5.846990379395735,5.896796560180859,11.970734112041887,11.990488694765496
151,UGC07577,4,570.0,0.8952843896896177,-2.3364817059605527,-2.336314665755671,3.026555729867517,3.0263583605245734
160,UGC08837,4,570.0,1.0996806411092501,-0.5693882435678974,-0.5645393340220474,2.5843325635539354,2.580062580221259
165,UGC11455,4,570.0,2.6104505684756054,-32.316324596850244,-28.002058803133224,35.40709081405646,31.402199910559876
169,UGC12506,4,570.0,1.8422323732866062,24.291019588459697,30.80503173412908,41.37456847324801,45.13449598019618
172,UGCA281,4,570.0,1.5651053770751968,3.0214933320776702,3.0250229255528502,3.495608715436154,3.4976594242666703
174,UGCA444,4,570.0,0.007848146497119872,0.826098686166359,0.8284417662835963,1.964104907547628,1.964627789811609
